Depth ID Strategy Param SolutionLength Visited Processed Depth Time
3 2 bfs ludr 3 72 35 0 0.002 
3 2 bfs lurd 3 59 28 0 0.002 
3 2 bfs rdlu 3 35 16 0 0.001 
3 2 bfs rdul 3 35 16 0 0.001 
3 2 bfs uldr 3 72 35 0 0.002 
3 2 bfs ulrd 3 59 28 0 0.002 
3 2 dfs drlu 3 138945 138941 20 5.353 
3 2 dfs drul 15 62988 62973 20 3.049 
3 2 dfs ludr 3 226104 226104 20 7.31 
3 2 dfs lurd 3 298057 298056 20 9.8 
3 2 dfs rdlu 3 9 4 3 0.0 
3 2 dfs rdul 3 9 4 3 0.0 
3 2 dfs uldr 3 354163 354163 20 12.875 
3 2 dfs ulrd 3 247140 247139 20 11.978 
3 3 astr hamm 3 10 4 3 0.001 
3 3 astr manh 3 10 4 3 0.001 
3 3 bfs drlu 3 38 18 0 0.001 
3 3 bfs drul 3 38 18 0 0.001 
3 3 bfs ludr 3 66 32 0 0.002 
3 3 bfs lurd 3 69 33 0 0.002 
3 3 bfs rdlu 3 41 19 0 0.001 
3 3 bfs rdul 3 41 19 0 0.001 
3 3 bfs uldr 3 66 32 0 0.002 
3 3 bfs ulrd 3 69 33 0 0.002 
3 3 dfs drlu 11 26 12 11 0.001 
3 3 dfs drul 11 38076 38067 20 1.749 
3 3 dfs ludr 11 188803 188799 20 6.102 
3 3 dfs lurd 3 355653 355652 20 12.889 
3 3 dfs rdlu 3 166961 166957 20 5.383 
3 3 dfs rdul 3 140599 140595 20 4.746 
3 3 dfs uldr 3 298935 298934 20 11.259 
3 3 dfs ulrd 3 299234 299233 20 13.065 
3 4 astr hamm 3 10 4 3 0.001 
3 4 astr manh 3 10 4 3 0.001 
3 4 bfs drlu 3 44 21 0 0.002 
3 4 bfs drul 3 44 21 0 0.002 
3 4 bfs ludr 3 72 35 0 0.002 
3 4 bfs lurd 3 63 30 0 0.002 
3 4 bfs rdlu 3 35 16 0 0.001 
3 4 bfs rdul 3 35 16 0 0.001 
3 4 bfs uldr 3 72 35 0 0.002 
3 4 bfs ulrd 3 63 30 0 0.006 
3 4 dfs drlu 3 180489 180486 20 5.736 
3 4 dfs drul 3 199748 199745 20 9.889 
3 4 dfs ludr 3 322224 322224 20 11.183 
3 4 dfs lurd 3 298934 298932 20 10.866 
3 4 dfs rdlu 3 10 4 3 0.0 
3 4 dfs rdul 3 10 4 3 0.0 
3 4 dfs uldr 11 385211 385210 20 14.206 
3 4 dfs ulrd 3 168143 168141 20 8.627 
3 5 astr hamm 3 9 4 3 0.001 
3 5 astr manh 3 9 4 3 0.001 
3 5 bfs drlu 3 39 17 0 0.001 
3 5 bfs drul 3 29 13 0 0.001 
3 5 bfs ludr 3 50 22 0 0.002 
3 5 bfs lurd 3 50 22 0 0.002 
3 5 bfs rdlu 3 39 17 0 0.001 
3 5 bfs rdul 3 29 13 0 0.001 
3 5 bfs uldr 3 40 18 0 0.001 
3 5 bfs ulrd 3 40 18 0 0.001 
3 5 dfs drlu 9 20 10 9 0.001 
3 5 dfs drul 19 11405 11392 20 0.512 
3 5 dfs ludr 3 228650 228649 20 7.307 
3 5 dfs lurd 3 297624 297623 20 10.803 
3 5 dfs rdlu 9 20 10 9 0.001 
3 5 dfs rdul 19 446 432 20 0.014 
